APK_File,Bug_Report_URL,Android_SDK,Success,APK_Download_URL
26.ODK-Collect-debug.apk,https://github.com/opendatakit/collect/issues/2086,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/26.ODK-Collect-debug.apk
27.k9-debug.apk,https://github.com/k9mail/k-9/issues/3255,4.42,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/27.k9-debug.apk
28.73-k9-build.apk,https://github.com/k9mail/k-9/issues/2612,7.0.0,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/28.73-k9-build.apk
29.84-k9-build.apk,https://github.com/k9mail/k-9/issues/2019,7.0.0,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/29.84-k9-build.apk
30.69AnkiDroid-2.9alpha4.apk,https://github.com/ankidroid/Anki-Android/issues/4586,7.0.0,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/30.69AnkiDroid-2.9alpha4.apk
31.68-TagMo.apk,https://github.com/HiddenRamblings/TagMo/issues/12,5.1.1,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/31.68-TagMo.apk
32.mifosng-android-release.apk,https://github.com/openMF/android-client/issues/734,7.0.0,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/32.mifosng-android-release.apk
33.FlashCards.apk,https://github.com/ASU-CodeDevils/FlashCards/issues/13,7.0.0,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/33.FlashCards.apk
34.FastAdapter-v1.4.1.1.apk,https://github.com/mikepenz/FastAdapter/issues/113,7.0.0,Y,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/34.FastAdapter-v1.4.1.1.apk
35.Memento-Calender-v3.6.apk,https://github.com/alexstyl/Memento-Calendar/issues/169,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/35.Memento-Calender-v3.6.apk
36.Memento-Calender-v3.6.apk,https://github.com/vijai1996/screenrecorder/issues/32,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/36.Memento-Calender-v3.6.apk
37.Memento-Calender-v3.6.apk,https://github.com/opendatakit/collect/issues/1796,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/37.Memento-Calender-v3.6.apk
38.AIMSICD_debug.apk,https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector/issues/816,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/38.AIMSICD_debug.apk
39.materialistic-76.apk,https://github.com/hidroh/materialistic/issues/1067,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/39.materialistic-76.apk
40.Bites-v1.0.apk,https://code.google.com/archive/p/bites-android/issues/44,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/40.Bites-v1.0.apk
41.Bites-v1.0.apk,https://code.google.com/archive/p/bites-android/issues/20,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/41.Bites-v1.0.apk
42.QKSMS-v2.7.1.apk,https://github.com/moezbhatti/qksms/issues/585,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/42.QKSMS-v2.7.1.apk
43.QKSMS-v2.2.0.apk,https://github.com/moezbhatti/qksms/issues/241,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/43.QKSMS-v2.2.0.apk
44.OpenSudoku.apk,https://code.google.com/archive/p/opensudoku-android/issues/148,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/44.OpenSudoku.apk
45.Asciicam-v1.2.3.apk,https://github.com/dozingcat/AsciiCam/issues/17,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/45.Asciicam-v1.2.3.apk
46.Zom-v15.0.1.933-free.apk,https://github.com/zom/Zom-Android/issues/168,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/46.Zom-v15.0.1.933-free.apk
47.openhab-v2.0.10beta.apk,https://github.com/openhab/openhab-android/issues/707,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/47.openhab-v2.0.10beta.apk
48.shuttle-v1.6.5.apk,https://github.com/timusus/Shuttle/issues/91,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/48.shuttle-v1.6.5.apk
49.microMathematics-v2.15.4.apk,https://github.com/mkulesh/microMathematics/issues/39,4.42,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/49.microMathematics-v2.15.4.apk
51.Kontalk.apk,https://github.com/Fotoapparat/Fotoapparat/issues/50,4.4.2,N,https://github.com/AndroidTestBugReport/ReCDroid/raw/master/Evaluation%20Result/apks/51.Kontalk.apk
