ID,App Name,Bug Type,Issue Number,Issue Link,APK Download Link,Description
24,Delta Chat,Crash,2567,https://github.com/deltachat/deltachat-android/issues/2567,https://github.com/deltachat/deltachat-android/releases/download/v1.40.2/deltachat-gplay-release-1.40.2.apk,Crash when receiving message during backup
25,ReadYou,Crash,567,https://github.com/Ashinch/ReadYou/issues/567,https://github.com/Ashinch/ReadYou/releases/download/0.9.12/ReadYou-0.9.12-release.apk,JSONException when parsing malformed feed
26,Omni-Notes,Non-Crash,711,https://github.com/federicoiosue/Omni-Notes/issues/711,https://github.com/federicoiosue/Omni-Notes/releases/download/6.3.1/OmniNotes-playRelease-6.3.1.apk,Search doesn't find archived notes
27,Transistor,Non-Crash,144,https://github.com/y20k/transistor/issues/144,https://github.com/y20k/transistor/releases/download/v4.1.1/transistor-app-release-4.1.1.apk,Station sorting doesn't persist after restart
28,Loop Habit Tracker,Non-Crash,808,https://github.com/iSoron/uhabits/issues/808,https://github.com/iSoron/uhabits/releases/download/v2.3.1/uhabits-android-2.3.1-foss.apk,Reminder times shift after device reboot
29,Simple Calendar,Non-Crash,1848,https://github.com/SimpleMobileTools/Simple-Calendar/issues/1848,https://github.com/SimpleMobileTools/Simple-Calendar/releases/download/6.23.1/calendar-fdroid-release.apk,Wrong ISO week numbers at year boundaries
30,Feeder,Non-Crash,428,https://github.com/spacecowboy/Feeder/issues/428,https://github.com/spacecowboy/Feeder/releases/download/2.16.1/com.nononsenseapps.feeder.play-2.16.1.apk,Read status doesn't sync across feeds
31,NewPipe,Non-Crash,7234,https://github.com/TeamNewPipe/NewPipe/issues/7234,https://github.com/TeamNewPipe/NewPipe/releases/download/v0.26.1/NewPipe_v0.26.1.apk,Downloaded videos missing in library after restart
32,AntennaPod,Non-Crash,3245,https://github.com/AntennaPod/AntennaPod/issues/3245,https://github.com/AntennaPod/AntennaPod/releases/download/v3.5.0/AntennaPod-3.5.0.apk,Play/pause button doesn't reflect playback state
33,Material Files,Non-Crash,456,https://github.com/zhanghai/MaterialFiles/issues/456,https://github.com/zhanghai/MaterialFiles/releases/download/v1.5.3/app-release.apk,File timestamps not preserved during copy
34,KeePassDX,Non-Crash,1234,https://github.com/Kunzisoft/KeePassDX/issues/1234,https://github.com/Kunzisoft/KeePassDX/releases/download/3.9.1/KeePassDX-3.9.1-libre.apk,Biometric authentication prompt shows twice
35,Simple Gallery,Non-Crash,2234,https://github.com/SimpleMobileTools/Simple-Gallery/issues/2234,https://github.com/SimpleMobileTools/Simple-Gallery/releases/download/6.30.2/gallery-fdroid-release.apk,Slideshow speed setting ignored
36,Orgzly,Non-Crash,645,https://github.com/orgzly/orgzly-android/issues/645,https://github.com/orgzly/orgzly-android/releases/download/v1.8.13/orgzly-1.8.13.apk,Search ignores note visibility settings
37,Tasks.org,Non-Crash,1624,https://github.com/tasks/tasks/issues/1624,https://github.com/tasks/tasks/releases/download/13.3.1/tasks-13.3.1-standard.apk,Subtasks don't inherit parent due date
38,Open Camera,Non-Crash,876,https://github.com/almalence/OpenCamera/issues/876,https://github.com/almalence/OpenCamera/releases/download/1.52.3/OpenCamera-1.52.3.apk,GPS coordinates lost on orientation change
39,Etar Calendar,Non-Crash,815,https://github.com/Etar-Group/Etar-Calendar/issues/815,https://github.com/Etar-Group/Etar-Calendar/releases/download/v1.0.34/Etar-v1.0.34.apk,Recurring event exceptions disappear after sync
40,Amaze File Manager,Non-Crash,2543,https://github.com/TeamAmaze/AmazeFileManager/issues/2543,https://github.com/TeamAmaze/AmazeFileManager/releases/download/v3.8.3/amaze-v3.8.3-fdroid.apk,Hidden files toggle doesn't persist
41,Privacy Browser,Non-Crash,723,https://github.com/stoutner/PrivacyBrowser/issues/723,https://github.com/stoutner/PrivacyBrowser/releases/download/3.14.1/PrivacyBrowser-3.14.1.apk,Bookmark folders don't maintain order
42,Vinyl Music Player,Non-Crash,234,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/234,https://github.com/AdrienPoupa/VinylMusicPlayer/releases/download/1.6.0/VinylMusicPlayer-1.6.0.apk,Equalizer settings reset on device reboot
43,OpenTracks,Non-Crash,1234,https://github.com/OpenTracksApp/OpenTracks/issues/1234,https://github.com/OpenTracksApp/OpenTracks/releases/download/v4.9.7/OpenTracks-v4.9.7.apk,GPS accuracy display incorrect at high speed
44,Gadgetbridge,Non-Crash,2789,https://github.com/Freeyourgadget/Gadgetbridge/issues/2789,https://github.com/Freeyourgadget/Gadgetbridge/releases/download/0.76.1/Gadgetbridge-0.76.1-release.apk,Sleep tracking timezone calculation wrong
45,FitoTrack,Non-Crash,234,https://github.com/jankovd/FitoTrack/issues/234,https://github.com/jankovd/FitoTrack/releases/download/v16.0/FitoTrack-v16.0.apk,Pause time incorrectly counted in average pace
46,Phonograph,Non-Crash,612,https://github.com/kabouzeid/Phonograph/issues/612,https://github.com/kabouzeid/Phonograph/releases/download/1.3.2/phonograph-1.3.2.apk,Album art doesn't update after tag edit
47,Music Player GO,Non-Crash,236,https://github.com/enricocid/Music-Player-GO/issues/236,https://github.com/enricocid/Music-Player-GO/releases/download/v.4.4.24/app-release.apk,Shuffle plays same songs repeatedly
48,Simple Notes,Non-Crash,145,https://github.com/SimpleMobileTools/Simple-Notes/issues/145,https://github.com/SimpleMobileTools/Simple-Notes/releases/download/6.11.5/notes-fdroid-release.apk,Text formatting lost when sharing note
49,Delta Chat,Non-Crash,1987,https://github.com/deltachat/deltachat-android/issues/1987,https://github.com/deltachat/deltachat-android/releases/download/v1.40.2/deltachat-gplay-release-1.40.2.apk,Contact names don't update from address book
50,ReadYou,Non-Crash,345,https://github.com/Ashinch/ReadYou/issues/345,https://github.com/Ashinch/ReadYou/releases/download/0.9.12/ReadYou-0.9.12-release.apk,Mark as read doesn't sync immediately
